date,year,month,international_arrivals,source,log_arrivals,yoy_growth,mom_growth,covid_period
2000-01-01,2000,1,203300,reconstructed,12.222437999616439,,,0
2000-02-01,2000,2,181900,reconstructed,12.111212364506214,,-10.526315789473683,0
2000-03-01,2000,3,175480,reconstructed,12.07528035528015,,-3.529411764705881,0
2000-04-01,2000,4,160500,reconstructed,11.986049221552207,,-8.536585365853655,0
2000-05-01,2000,5,149800,reconstructed,11.917056350065256,,-6.666666666666665,0
2000-06-01,2000,6,160500,reconstructed,11.986049221552207,,7.14285714285714,0
2000-07-01,2000,7,203300,reconstructed,12.222437999616439,,26.66666666666666,0
2000-08-01,2000,8,214000,reconstructed,12.273731294003989,,5.263157894736836,0
2000-09-01,2000,9,181900,reconstructed,12.111212364506214,,-15.000000000000002,0
2000-10-01,2000,10,181900,reconstructed,12.111212364506214,,0.0,0
2000-11-01,2000,11,171200,reconstructed,12.050587742689778,,-5.882352941176472,0
2000-12-01,2000,12,156220,reconstructed,11.959020549164288,,-8.750000000000002,0
2001-01-01,2001,1,221350,reconstructed,12.307500438160288,8.878504672897192,41.691204711304565,0
2001-02-01,2001,2,198050,reconstructed,12.196274803050063,8.878504672897192,-10.526315789473683,0
2001-03-01,2001,3,191060,reconstructed,12.160342793823999,8.878504672897192,-3.529411764705881,0
2001-04-01,2001,4,174750,reconstructed,12.071111660096056,8.878504672897192,-8.536585365853655,0
2001-05-01,2001,5,163100,reconstructed,12.002118788609105,8.878504672897192,-6.666666666666665,0
2001-06-01,2001,6,174750,reconstructed,12.071111660096056,8.878504672897192,7.14285714285714,0
2001-07-01,2001,7,221350,reconstructed,12.307500438160288,8.878504672897192,26.66666666666666,0
2001-08-01,2001,8,233000,reconstructed,12.358793732547838,8.878504672897192,5.263157894736836,0
2001-09-01,2001,9,198050,reconstructed,12.196274803050063,8.878504672897192,-15.000000000000002,0
2001-10-01,2001,10,198050,reconstructed,12.196274803050063,8.878504672897192,0.0,0
2001-11-01,2001,11,186400,reconstructed,12.135650181233627,8.878504672897192,-5.882352941176472,0
2001-12-01,2001,12,170090,reconstructed,12.044082987708137,8.878504672897192,-8.750000000000002,0
2002-01-01,2002,1,249660,reconstructed,12.427855271205042,12.789699570815461,46.78111587982832,0
2002-02-01,2002,2,223380,reconstructed,12.316629636094818,12.789699570815461,-10.526315789473683,0
2002-03-01,2002,3,215496,reconstructed,12.280697626868754,12.789699570815461,-3.529411764705881,0
2002-04-01,2002,4,197100,reconstructed,12.191466493140812,12.789699570815461,-8.536585365853655,0
2002-05-01,2002,5,183960,reconstructed,12.12247362165386,12.789699570815461,-6.666666666666665,0
2002-06-01,2002,6,197100,reconstructed,12.191466493140812,12.789699570815461,7.14285714285714,0
2002-07-01,2002,7,249660,reconstructed,12.427855271205042,12.789699570815461,26.66666666666666,0
2002-08-01,2002,8,262800,reconstructed,12.479148565592592,12.789699570815461,5.263157894736836,0
2002-09-01,2002,9,223380,reconstructed,12.316629636094818,12.789699570815461,-15.000000000000002,0
2002-10-01,2002,10,223380,reconstructed,12.316629636094818,12.789699570815461,0.0,0
2002-11-01,2002,11,210240,reconstructed,12.256005014278383,12.789699570815461,-5.882352941176472,0
2002-12-01,2002,12,191844,reconstructed,12.164437820752893,12.789699570815461,-8.750000000000002,0
2003-01-01,2003,1,230755,reconstructed,12.349111820602714,-7.572298325722981,20.282625466524884,0
2003-02-01,2003,2,206465,reconstructed,12.237886185492489,-7.572298325722981,-10.526315789473683,0
2003-03-01,2003,3,199178,reconstructed,12.201954176266426,-7.572298325722981,-3.529411764705881,0
2003-04-01,2003,4,182175,reconstructed,12.112723042538484,-7.572298325722981,-8.536585365853655,0
2003-05-01,2003,5,170030,reconstructed,12.043730171051532,-7.572298325722981,-6.666666666666665,0
2003-06-01,2003,6,182175,reconstructed,12.112723042538484,-7.572298325722981,7.14285714285714,0
2003-07-01,2003,7,230755,reconstructed,12.349111820602714,-7.572298325722981,26.66666666666666,0
2003-08-01,2003,8,242900,reconstructed,12.400405114990264,-7.572298325722981,5.263157894736836,0
2003-09-01,2003,9,206465,reconstructed,12.237886185492489,-7.572298325722981,-15.000000000000002,0
2003-10-01,2003,10,206465,reconstructed,12.237886185492489,-7.572298325722981,0.0,0
2003-11-01,2003,11,194320,reconstructed,12.177261563676055,-7.572298325722981,-5.882352941176472,0
2003-12-01,2003,12,177317,reconstructed,12.085694370150563,-7.572298325722981,-8.750000000000002,0
2004-01-01,2004,1,278065,reconstructed,12.535610178292426,20.50226430629889,56.8180151931287,0
2004-02-01,2004,2,248795,reconstructed,12.424384543182203,20.50226430629889,-10.526315789473683,0
2004-03-01,2004,3,240014,reconstructed,12.388452533956139,20.50226430629889,-3.529411764705881,0
2004-04-01,2004,4,219525,reconstructed,12.299221400228197,20.50226430629889,-8.536585365853655,0
2004-05-01,2004,5,204890,reconstructed,12.230228528741245,20.50226430629889,-6.666666666666665,0
2004-06-01,2004,6,219525,reconstructed,12.299221400228197,20.50226430629889,7.14285714285714,0
2004-07-01,2004,7,278065,reconstructed,12.535610178292426,20.50226430629889,26.66666666666666,0
2004-08-01,2004,8,292700,reconstructed,12.586903472679976,20.50226430629889,5.263157894736836,0
2004-09-01,2004,9,248795,reconstructed,12.424384543182203,20.50226430629889,-15.000000000000002,0
2004-10-01,2004,10,248795,reconstructed,12.424384543182203,20.50226430629889,0.0,0
2004-11-01,2004,11,234160,reconstructed,12.363759921365768,20.50226430629889,-5.882352941176472,0
2004-12-01,2004,12,213671,reconstructed,12.272192727840277,20.50226430629889,-8.750000000000002,0
2005-01-01,2005,1,329460,reconstructed,12.705210229500974,18.48308848650495,54.19032063312288,0
2005-02-01,2005,2,294780,reconstructed,12.593984594390749,18.48308848650495,-10.526315789473683,0
2005-03-01,2005,3,284376,reconstructed,12.558052585164685,18.48308848650495,-3.529411764705881,0
2005-04-01,2005,4,260100,reconstructed,12.468821451436742,18.48308848650495,-8.536585365853655,0
2005-05-01,2005,5,242760,reconstructed,12.39982857994979,18.48308848650495,-6.666666666666665,0
2005-06-01,2005,6,260100,reconstructed,12.468821451436742,18.48308848650495,7.14285714285714,0
2005-07-01,2005,7,329460,reconstructed,12.705210229500974,18.48308848650495,26.66666666666666,0
2005-08-01,2005,8,346800,reconstructed,12.756503523888524,18.48308848650495,5.263157894736836,0
2005-09-01,2005,9,294780,reconstructed,12.593984594390749,18.48308848650495,-15.000000000000002,0
2005-10-01,2005,10,294780,reconstructed,12.593984594390749,18.48308848650495,0.0,0
2005-11-01,2005,11,277440,reconstructed,12.533359972574313,18.48308848650495,-5.882352941176472,0
2005-12-01,2005,12,253163,reconstructed,12.441788829032332,18.482620477275802,-8.750360438292958,0
2006-01-01,2006,1,340385,reconstructed,12.737832608905494,3.316032295271043,34.4529018853466,0
2006-02-01,2006,2,304555,reconstructed,12.62660697379527,3.316032295271043,-10.526315789473683,0
2006-03-01,2006,3,293806,reconstructed,12.590674964569207,3.316032295271043,-3.529411764705881,0
2006-04-01,2006,4,268725,reconstructed,12.501443830841264,3.316032295271043,-8.536585365853655,0
2006-05-01,2006,5,250810,reconstructed,12.432450959354313,3.316032295271043,-6.666666666666665,0
2006-06-01,2006,6,268725,reconstructed,12.501443830841264,3.316032295271043,7.14285714285714,0
2006-07-01,2006,7,340385,reconstructed,12.737832608905494,3.316032295271043,26.66666666666666,0
2006-08-01,2006,8,358300,reconstructed,12.789125903293046,3.316032295271043,5.263157894736836,0
2006-09-01,2006,9,304555,reconstructed,12.62660697379527,3.316032295271043,-15.000000000000002,0
2006-10-01,2006,10,304555,reconstructed,12.62660697379527,3.316032295271043,0.0,0
2006-11-01,2006,11,286640,reconstructed,12.565982351978835,3.316032295271043,-5.882352941176472,0
2006-12-01,2006,12,261558,reconstructed,12.47441133521686,3.316045393679179,-8.750348869662295,0
2007-01-01,2007,1,396340,reconstructed,12.890027707721204,16.43873848730115,51.530444490323376,0
2007-02-01,2007,2,354620,reconstructed,12.77880207261098,16.43873848730115,-10.526315789473683,0
2007-03-01,2007,3,342104,reconstructed,12.742870063384917,16.43873848730115,-3.529411764705881,0
2007-04-01,2007,4,312900,reconstructed,12.653638929656973,16.43873848730115,-8.536585365853655,0
2007-05-01,2007,5,292040,reconstructed,12.584646058170023,16.43873848730115,-6.666666666666665,0
2007-06-01,2007,6,312900,reconstructed,12.653638929656973,16.43873848730115,7.14285714285714,0
2007-07-01,2007,7,396340,reconstructed,12.890027707721204,16.43873848730115,26.66666666666666,0
2007-08-01,2007,8,417200,reconstructed,12.941321002108754,16.43873848730115,5.263157894736836,0
2007-09-01,2007,9,354620,reconstructed,12.77880207261098,16.43873848730115,-15.000000000000002,0
2007-10-01,2007,10,354620,reconstructed,12.77880207261098,16.43873848730115,0.0,0
2007-11-01,2007,11,333760,reconstructed,12.718177450794546,16.43873848730115,-5.882352941176472,0
2007-12-01,2007,12,304556,reconstructed,12.626610257269054,16.439183660985336,-8.750000000000002,0
2008-01-01,2008,1,400710,reconstructed,12.90099325263926,1.1025886864812984,31.5718619892565,0
2008-02-01,2008,2,358530,reconstructed,12.789767617529037,1.1025886864812984,-10.526315789473683,0
2008-03-01,2008,3,345876,reconstructed,12.753835608302973,1.1025886864812984,-3.529411764705881,0
2008-04-01,2008,4,316350,reconstructed,12.66460447457503,1.1025886864812984,-8.536585365853655,0
2008-05-01,2008,5,295260,reconstructed,12.595611603088079,1.1025886864812984,-6.666666666666665,0
2008-06-01,2008,6,316350,reconstructed,12.66460447457503,1.1025886864812984,7.14285714285714,0
2008-07-01,2008,7,400710,reconstructed,12.90099325263926,1.1025886864812984,26.66666666666666,0
2008-08-01,2008,8,421800,reconstructed,12.95228654702681,1.1025886864812984,5.263157894736836,0
2008-09-01,2008,9,358530,reconstructed,12.789767617529037,1.1025886864812984,-15.000000000000002,0
2008-10-01,2008,10,358530,reconstructed,12.789767617529037,1.1025886864812984,0.0,0
2008-11-01,2008,11,337440,reconstructed,12.729142995712602,1.1025886864812984,-5.882352941176472,0
2008-12-01,2008,12,307914,reconstructed,12.637575802187111,1.1025886864812984,-8.750000000000002,0
2009-01-01,2009,1,358340,reconstructed,12.78923753535389,-10.573731626363204,16.376650623225974,0
2009-02-01,2009,2,320620,reconstructed,12.678011900243664,-10.573731626363204,-10.526315789473683,0
2009-03-01,2009,3,309304,reconstructed,12.642079891017602,-10.573731626363204,-3.529411764705881,0
2009-04-01,2009,4,282900,reconstructed,12.55284875728966,-10.573731626363204,-8.536585365853655,0
2009-05-01,2009,5,264040,reconstructed,12.483855885802708,-10.573731626363204,-6.666666666666665,0
2009-06-01,2009,6,282900,reconstructed,12.55284875728966,-10.573731626363204,7.14285714285714,0
2009-07-01,2009,7,358340,reconstructed,12.78923753535389,-10.573731626363204,26.66666666666666,0
2009-08-01,2009,8,377200,reconstructed,12.84053082974144,-10.573731626363204,5.263157894736836,0
2009-09-01,2009,9,320620,reconstructed,12.678011900243664,-10.573731626363204,-15.000000000000002,0
2009-10-01,2009,10,320620,reconstructed,12.678011900243664,-10.573731626363204,0.0,0
2009-11-01,2009,11,301760,reconstructed,12.61738727842723,-10.573731626363204,-5.882352941176472,0
2009-12-01,2009,12,275356,reconstructed,12.525820084901738,-10.573731626363204,-8.750000000000002,0
2010-01-01,2010,1,479655,reconstructed,13.080822374459457,33.85471898197243,74.19449730530658,0
2010-02-01,2010,2,429165,reconstructed,12.969596739349232,33.85471898197243,-10.526315789473683,0
2010-03-01,2010,3,414018,reconstructed,12.93366473012317,33.85471898197243,-3.529411764705881,0
2010-04-01,2010,4,378675,reconstructed,12.844433596395227,33.85471898197243,-8.536585365853655,0
2010-05-01,2010,5,353430,reconstructed,12.775440724908275,33.85471898197243,-6.666666666666665,0
2010-06-01,2010,6,378675,reconstructed,12.844433596395227,33.85471898197243,7.14285714285714,0
2010-07-01,2010,7,479655,reconstructed,13.080822374459457,33.85471898197243,26.66666666666666,0
2010-08-01,2010,8,504900,reconstructed,13.132115668847007,33.85471898197243,5.263157894736836,0
2010-09-01,2010,9,429165,reconstructed,12.969596739349232,33.85471898197243,-15.000000000000002,0
2010-10-01,2010,10,429165,reconstructed,12.969596739349232,33.85471898197243,0.0,0
2010-11-01,2010,11,403920,reconstructed,12.908972117532798,33.85471898197243,-5.882352941176472,0
2010-12-01,2010,12,368577,reconstructed,12.817404924007306,33.85471898197243,-8.750000000000002,0
2011-01-01,2011,1,571330,reconstructed,13.255722255149015,19.112695583283813,55.00967233441045,0
2011-02-01,2011,2,511190,reconstructed,13.14449662003879,19.112695583283813,-10.526315789473683,0
2011-03-01,2011,3,493148,reconstructed,13.108564610812728,19.112695583283813,-3.529411764705881,0
2011-04-01,2011,4,451050,reconstructed,13.019333477084785,19.112695583283813,-8.536585365853655,0
2011-05-01,2011,5,420980,reconstructed,12.950340605597834,19.112695583283813,-6.666666666666665,0
2011-06-01,2011,6,451050,reconstructed,13.019333477084785,19.112695583283813,7.14285714285714,0
2011-07-01,2011,7,571330,reconstructed,13.255722255149015,19.112695583283813,26.66666666666666,0
2011-08-01,2011,8,601400,reconstructed,13.307015549536565,19.112695583283813,5.263157894736836,0
2011-09-01,2011,9,511190,reconstructed,13.14449662003879,19.112695583283813,-15.000000000000002,0
2011-10-01,2011,10,511190,reconstructed,13.14449662003879,19.112695583283813,0.0,0
2011-11-01,2011,11,481120,reconstructed,13.083871998222357,19.112695583283813,-5.882352941176472,0
2011-12-01,2011,12,439022,reconstructed,12.992304804696866,19.112695583283813,-8.750000000000002,0
2012-01-01,2012,1,650560,reconstructed,13.385588809422119,13.867642168274031,48.18391789021963,0
2012-02-01,2012,2,582080,reconstructed,13.274363174311894,13.867642168274031,-10.526315789473683,0
2012-03-01,2012,3,561536,reconstructed,13.238431165085832,13.867642168274031,-3.529411764705881,0
2012-04-01,2012,4,513600,reconstructed,13.14920003135789,13.867642168274031,-8.536585365853655,0
2012-05-01,2012,5,479360,reconstructed,13.080207159870938,13.867642168274031,-6.666666666666665,0
2012-06-01,2012,6,513600,reconstructed,13.14920003135789,13.867642168274031,7.14285714285714,0
2012-07-01,2012,7,650560,reconstructed,13.385588809422119,13.867642168274031,26.66666666666666,0
2012-08-01,2012,8,684800,reconstructed,13.436882103809669,13.867642168274031,5.263157894736836,0
2012-09-01,2012,9,582080,reconstructed,13.274363174311894,13.867642168274031,-15.000000000000002,0
2012-10-01,2012,10,582080,reconstructed,13.274363174311894,13.867642168274031,0.0,0
2012-11-01,2012,11,547840,reconstructed,13.21373855249546,13.867642168274031,-5.882352941176472,0
2012-12-01,2012,12,499903,reconstructed,13.122169358583895,13.867414389256115,-8.750182535046724,0
2013-01-01,2013,1,719340,reconstructed,13.486089403929753,10.572429906542059,43.8959158076667,0
2013-02-01,2013,2,643620,reconstructed,13.37486376881953,10.572429906542059,-10.526315789473683,0
2013-03-01,2013,3,620904,reconstructed,13.338931759593466,10.572429906542059,-3.529411764705881,0
2013-04-01,2013,4,567900,reconstructed,13.249700625865524,10.572429906542059,-8.536585365853655,0
2013-05-01,2013,5,530040,reconstructed,13.180707754378572,10.572429906542059,-6.666666666666665,0
2013-06-01,2013,6,567900,reconstructed,13.249700625865524,10.572429906542059,7.14285714285714,0
2013-07-01,2013,7,719340,reconstructed,13.486089403929753,10.572429906542059,26.66666666666666,0
2013-08-01,2013,8,757200,reconstructed,13.537382698317305,10.572429906542059,5.263157894736836,0
2013-09-01,2013,9,643620,reconstructed,13.37486376881953,10.572429906542059,-15.000000000000002,0
2013-10-01,2013,10,643620,reconstructed,13.37486376881953,10.572429906542059,0.0,0
2013-11-01,2013,11,605760,reconstructed,13.314239147003095,10.572429906542059,-5.882352941176472,0
2013-12-01,2013,12,552756,reconstructed,13.222671953477604,10.572651094312292,-8.750000000000002,0
2014-01-01,2014,1,748030,reconstructed,13.525198363104224,3.9883782356048503,35.32734153948578,0
2014-02-01,2014,2,669290,reconstructed,13.413972727993999,3.9883782356048503,-10.526315789473683,0
